Business Unit,Operating Unit,Account,Product,Sub-Product,Book Code,Affliate,Project ID,Class,Currency,Amount,ADB Date,Accounting Date,Trade Ref,Narrative,Operating Unit Affliate,Acctg Reason Code,Relation ID,Reversal,IntraDay,Source, Trade Group ID,Client Code,Client Name,Doc Seq Number
CN003,AS00B13E,4200050000,LOAN,   ,B,   ,   ,   ,USD,520.96,05/13/2019,05/13/2019,MCHLE853039,LE853039_20190513_426,   ,GL,  ,   ,N,MID, , , ,1
CN003,AS00B11E,4250200000,SPOT,   ,B,   ,   ,   ,USD,-520.96,05/13/2019,05/13/2019,MCHLE853039,LE853039_20190513_426,   ,GL,  ,   ,N,MID, , , ,2
CN003,AS00B11E,4250200000,SPOT,   ,B,   ,   ,   ,RMB,3540.15,05/13/2019,05/13/2019,MCHLE853039,LE853039_20190513_426,   ,GL,  ,   ,N,MID, , , ,3
CN003,AS00B11E,2650050000,,   ,B,   ,   ,   ,RMB,-3540.15,05/13/2019,05/13/2019,MCHLE853039,LE853039_20190513_426,   ,GL,  ,   ,N,MID, , , ,4
CN003,AS00B13E,4200050000,LOAN,   ,B,   ,   ,   ,USD,590.36,05/13/2019,05/13/2019,MCHLE853208,LE853208_20190513_427,   ,GL,  ,   ,N,MID, , , ,5
CN003,AS00B11E,4250200000,SPOT,   ,B,   ,   ,   ,USD,-590.36,05/13/2019,05/13/2019,MCHLE853208,LE853208_20190513_427,   ,GL,  ,   ,N,MID, , , ,6
CN003,AS00B11E,4250200000,SPOT,   ,B,   ,   ,   ,RMB,4011.73,05/13/2019,05/13/2019,MCHLE853208,LE853208_20190513_427,   ,GL,  ,   ,N,MID, , , ,7
CN003,AS00B11E,2650050000,,   ,B,   ,   ,   ,RMB,-4011.73,05/13/2019,05/13/2019,MCHLE853208,LE853208_20190513_427,   ,GL,  ,   ,N,MID, , , ,8
CN003,AS00B13E,4200050000,LOAN,   ,B,   ,   ,   ,USD,447.1,05/13/2019,05/13/2019,MCHLE853262,LE853262_20190513_428,   ,GL,  ,   ,N,MID, , , ,9
CN003,AS00B11E,4250200000,SPOT,   ,B,   ,   ,   ,USD,-447.1,05/13/2019,05/13/2019,MCHLE853262,LE853262_20190513_428,   ,GL,  ,   ,N,MID, , , ,10
CN003,AS00B11E,4250200000,SPOT,   ,B,   ,   ,   ,RMB,3038.22,05/13/2019,05/13/2019,MCHLE853262,LE853262_20190513_428,   ,GL,  ,   ,N,MID, , , ,11
CN003,AS00B11E,2650050000,,   ,B,   ,   ,   ,RMB,-3038.22,05/13/2019,05/13/2019,MCHLE853262,LE853262_20190513_428,   ,GL,  ,   ,N,MID, , , ,12
CN003,AS00B13E,4200050000,LOAN,   ,B,   ,   ,   ,USD,212.66,05/13/2019,05/13/2019,MCHLE800689,LE800689_20190513_429,   ,GL,  ,   ,N,MID, , , ,13
CN003,AS00B11E,4250200000,SPOT,   ,B,   ,   ,   ,USD,-212.66,05/13/2019,05/13/2019,MCHLE800689,LE800689_20190513_429,   ,GL,  ,   ,N,MID, , , ,14
CN003,AS00B11E,4250200000,SPOT,   ,B,   ,   ,   ,RMB,1445.13,05/13/2019,05/13/2019,MCHLE800689,LE800689_20190513_429,   ,GL,  ,   ,N,MID, , , ,15
CN003,AS00B11E,2650050000,,   ,B,   ,   ,   ,RMB,-1445.13,05/13/2019,05/13/2019,MCHLE800689,LE800689_20190513_429,   ,GL,  ,   ,N,MID, , , ,16
CN003,AS00B13E,4200050000,LOAN,   ,B,   ,   ,   ,USD,297.5,05/13/2019,05/13/2019,MCHLE800691,LE800691_20190513_430,   ,GL,  ,   ,N,MID, , , ,17
CN003,AS00B11E,4250200000,SPOT,   ,B,   ,   ,   ,USD,-297.5,05/13/2019,05/13/2019,MCHLE800691,LE800691_20190513_430,   ,GL,  ,   ,N,MID, , , ,18
CN003,AS00B11E,4250200000,SPOT,   ,B,   ,   ,   ,RMB,2021.64,05/13/2019,05/13/2019,MCHLE800691,LE800691_20190513_430,   ,GL,  ,   ,N,MID, , , ,19
CN003,AS00B11E,2650050000,,   ,B,   ,   ,   ,RMB,-2021.64,05/13/2019,05/13/2019,MCHLE800691,LE800691_20190513_430,   ,GL,  ,   ,N,MID, , , ,20
CN003,AS00B13E,4200050000,LOAN,   ,B,   ,   ,   ,USD,161.76,05/13/2019,05/13/2019,MCHLE800690,LE800690_20190513_431,   ,GL,  ,   ,N,MID, , , ,21
CN003,AS00B11E,4250200000,SPOT,   ,B,   ,   ,   ,USD,-161.76,05/13/2019,05/13/2019,MCHLE800690,LE800690_20190513_431,   ,GL,  ,   ,N,MID, , , ,22
CN003,AS00B11E,4250200000,SPOT,   ,B,   ,   ,   ,RMB,1099.22,05/13/2019,05/13/2019,MCHLE800690,LE800690_20190513_431,   ,GL,  ,   ,N,MID, , , ,23
CN003,AS00B11E,2650050000,,   ,B,   ,   ,   ,RMB,-1099.22,05/13/2019,05/13/2019,MCHLE800690,LE800690_20190513_431,   ,GL,  ,   ,N,MID, , , ,24
CN003,AS00B13E,4200050000,LOAN,   ,B,   ,   ,   ,USD,663.63,05/13/2019,05/13/2019,MCHLE800692,LE800692_20190513_432,   ,GL,  ,   ,N,MID, , , ,25
CN003,AS00B11E,4250200000,SPOT,   ,B,   ,   ,   ,USD,-663.63,05/13/2019,05/13/2019,MCHLE800692,LE800692_20190513_432,   ,GL,  ,   ,N,MID, , , ,26
